date,price_range_percent
2018-01-01,7.28
2018-01-02,17.33
2018-01-03,4.91
2018-01-04,8.38
2018-01-05,16.46
2018-01-06,5.65
2018-01-07,9.27
2018-01-08,16.4
2018-01-09,7.44
2018-01-10,9.36
2018-01-11,14.6
2018-01-12,8.15
2018-01-13,5.07
2018-01-14,9.37
2018-01-15,5.89
2018-01-16,35.78
2018-01-17,24.2
2018-01-18,10.64
2018-01-19,7.35
2018-01-20,12.41
2018-01-21,14.24
2018-01-22,16.86
2018-01-23,12.32
2018-01-24,8.1
2018-01-25,6.59
2018-01-26,11.33
2018-01-27,5.69
2018-01-28,4.92
2018-01-29,6.23
2018-01-30,12.66
2018-01-31,6.18
2018-02-01,16.76
2018-02-02,17.26
2018-02-03,14.29
2018-02-04,16.23
2018-02-05,23.8
2018-02-06,29.8
2018-02-07,17.58
2018-02-08,12.06
2018-02-09,10.81
2018-02-10,9.97
2018-02-11,8.64
2018-02-12,10.37
2018-02-13,5.95
2018-02-14,10.68
2018-02-15,8.93
2018-02-16,5.08
2018-02-17,9.76
2018-02-18,9.91
2018-02-19,7.23
2018-02-20,6.47
2018-02-21,8.96
2018-02-22,11.07
2018-02-23,7.73
2018-02-24,11.0
2018-02-25,5.49
2018-02-26,10.24
2018-02-27,6.17
2018-02-28,6.7
2018-03-01,6.76
2018-03-02,3.12
2018-03-03,4.78
2018-03-04,3.38
2018-03-05,2.27
2018-03-06,7.53
2018-03-07,12.77
2018-03-08,8.69
2018-03-09,11.2
2018-03-10,7.96
2018-03-11,12.84
2018-03-12,10.95
2018-03-13,5.72
2018-03-14,15.95
2018-03-15,8.29
2018-03-16,7.24
2018-03-17,6.83
2018-03-18,11.46
2018-03-19,6.03
2018-03-20,7.88
2018-03-21,3.74
2018-03-22,6.26
2018-03-23,6.21
2018-03-24,3.81
2018-03-25,2.76
2018-03-26,7.68
2018-03-27,5.59
2018-03-28,4.02
2018-03-29,12.89
2018-03-30,8.87
2018-03-31,5.02
2018-04-01,8.18
2018-04-02,4.68
2018-04-03,6.48
2018-04-04,9.79
2018-04-05,4.35
2018-04-06,4.3
2018-04-07,6.33
2018-04-08,2.77
2018-04-09,7.75
2018-04-10,2.51
2018-04-11,2.21
2018-04-12,16.05
2018-04-13,5.48
2018-04-14,3.76
2018-04-15,4.24
2018-04-16,5.62
2018-04-17,5.13
2018-04-18,3.95
2018-04-19,1.96
2018-04-20,7.71
2018-04-21,3.99
2018-04-22,2.53
2018-04-23,1.93
2018-04-24,9.01
2018-04-25,10.74
2018-04-26,6.35
2018-04-27,4.32
2018-04-28,5.38
2018-04-29,3.67
2018-04-30,3.39
2018-05-01,4.1
2018-05-02,2.68
2018-05-03,6.64
2018-05-04,2.02
2018-05-05,2.78
2018-05-06,5.02
2018-05-07,4.7
2018-05-08,3.67
2018-05-09,3.8
2018-05-10,3.93
2018-05-11,7.84
2018-05-12,5.37
2018-05-13,4.51
2018-05-14,6.13
2018-05-15,4.49
2018-05-16,4.07
2018-05-17,4.86
2018-05-18,3.75
2018-05-19,2.31
2018-05-20,4.35
2018-05-21,2.3
2018-05-22,5.23
2018-05-23,7.28
2018-05-24,5.56
2018-05-25,3.6
2018-05-26,3.35
2018-05-27,1.52
2018-05-28,4.48
2018-05-29,6.15
2018-05-30,3.56
2018-05-31,3.37
2018-06-01,2.66
2018-06-02,2.65
2018-06-03,1.86
2018-06-04,3.74
2018-06-05,3.33
2018-06-06,2.38
2018-06-07,1.18
2018-06-08,1.85
2018-06-09,2.01
2018-06-10,11.78
2018-06-11,3.04
2018-06-12,5.59
2018-06-13,5.51
2018-06-14,5.88
2018-06-15,3.84
2018-06-16,2.97
2018-06-17,1.38
2018-06-18,5.19
2018-06-19,1.68
2018-06-20,3.17
2018-06-21,1.43
2018-06-22,12.33
2018-06-23,2.52
2018-06-24,6.82
2018-06-25,3.39
2018-06-26,3.22
2018-06-27,2.1
2018-06-28,5.06
2018-06-29,7.3
2018-06-30,4.04
2018-07-01,2.28
2018-07-02,6.0
2018-07-03,3.47
2018-07-04,4.98
2018-07-05,3.1
2018-07-06,2.56
2018-07-07,4.33
2018-07-08,2.04
2018-07-09,1.7
2018-07-10,7.07
2018-07-11,1.81
2018-07-12,4.25
2018-07-13,1.91
2018-07-14,1.38
2018-07-15,2.35
2018-07-16,6.05
2018-07-17,10.52
2018-07-18,3.5
2018-07-19,2.73
2018-07-20,3.71
2018-07-21,2.41
2018-07-22,2.09
2018-07-23,4.89
2018-07-24,9.33
2018-07-25,4.09
2018-07-26,5.22
2018-07-27,5.39
2018-07-28,1.38
2018-07-29,1.61
2018-07-30,4.02
2018-07-31,6.3
2018-08-01,3.52
2018-08-02,2.52
2018-08-03,3.19
2018-08-04,7.35
2018-08-05,2.34
2018-08-06,4.01
2018-08-07,5.9
2018-08-08,8.36
2018-08-09,6.03
2018-08-10,7.62
2018-08-11,5.68
2018-08-12,2.76
2018-08-13,5.0
2018-08-14,5.31
2018-08-15,5.9
2018-08-16,3.14
2018-08-17,4.07
2018-08-18,4.15
2018-08-19,2.77
2018-08-20,3.79
2018-08-21,3.22
2018-08-22,8.03
2018-08-23,2.75
2018-08-24,3.41
2018-08-25,1.32
2018-08-26,2.33
2018-08-27,2.91
2018-08-28,3.3
2018-08-29,2.04
2018-08-30,3.48
2018-08-31,1.98
2018-09-01,2.9
2018-09-02,2.44
2018-09-03,1.52
2018-09-04,1.83
2018-09-05,8.77
2018-09-06,5.47
2018-09-07,2.48
2018-09-08,5.43
2018-09-09,3.95
2018-09-10,1.31
2018-09-11,2.22
